user	instance_id	displayed_text	I have read and understood the instructions.:::Yes	I want to participate in this research and continue with the study.:::Yes	Does the explanation justify the answer?:::No	Does the explanation justify the answer?:::Yes	Does the explanation justify the answer?:::Weakly Yes	Does the explanation justify the answer?:::Weakly No	reason:::Contain hallucinated content (not present in the premise)	reason:::None (only if the previous answer is Yes)	reason:::Too trivial (only repeating one of the sentences)	reason:::Insufficient justification	reason:::Does not make sense (nonsensical)	reason:::Irrelevant to the task
60d28e4b28fe97cc56f657d0	Explanation-Evaluation-consent.html	consent	I have read and understood the instructions.:::Yes	I want to participate in this research and continue with the study.:::Yes										
60d28e4b28fe97cc56f657d0	149	"<strong>Hypothesis:</strong> The person on the motorcycle is not holding up an arm<br> <hr size=""2""><strong>Premise:</strong> The person on the motorcycle is holding up an arm<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  one is holding up an arm while riding a motorcycle, and the other is not."				1				6				
60d28e4b28fe97cc56f657d0	286	"<strong>Hypothesis:</strong> A boy is studying a calendar<br> <hr size=""2""><strong>Premise:</strong> There is no boy looking at a calendar<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  a boy is not looking at a calendar."				1				6				
60d28e4b28fe97cc56f657d0	376	"<strong>Hypothesis:</strong> Herbert George-Williams was elected as the mayor of Freetown in 2008 .<br> <hr size=""2""><strong>Premise:</strong> The current mayor of Freetown is Herbert George-Williams , a member of the ruling All People 's Congress ( APC ) .The Freetown municipality is politically divided into three regions : East End Freetown , Central Freetown , and West End of Freetown ; and are subdivided into eight wards .<br> <hr size=""2""><strong>Relationship:</strong> neutral <br> <hr size=""2""><strong>Explanation:</strong>  the current mayor of Freetown is Herbert George-Williams, a member of the ruling All People's Congress ( APC )."			4									3
60d28e4b28fe97cc56f657d0	attention_question_testing_1	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"					2			6				
60d28e4b28fe97cc56f657d0	199	"<strong>Hypothesis:</strong> the british national team will play greece in the eurobasket 2017 next month.<br> <hr size=""2""><strong>Premise:</strong> Coverage will be on BBC iPlayer and the BBC Sport website and app. The two teams faced off in Patras, Greece, earlier this month, with European title contenders Greece running out winners, 92-64. Three members of that team will be missing at the Copper Box, however, offering GB a chance of revenge. ""I think it's going to be amazing - I'm from Stratford so I love playing there [at the Copper Box],"" said GB guard Teddy Okereafor. ""This is the level we need to be playing at to make sure we're 100% ready for EuroBasket this year. ""We've got a couple of guys who are going to be playing for the first time in London so it's going to be exciting for them - I think the atmosphere's going to be great."" The game will be Britain's only home game before they compete at FIBA EuroBasket 2017, which starts at the beginning of September with a qualifying group in Istanbul, Turkey. After they play Greece, coach Joe Prunty's team travel to a four-team tournament in Poland, their last warm-up games before EuroBasket starts. (BST) 17:30-19:30 - BBC iPlayer 17:30-19:30 - BBC Sport website<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  GB will play Greece next month in eurobasket 2017 qualifiers."				1				6				
60d28e4b28fe97cc56f657d0	attention_question_testing_2	"<strong>Hypothesis:</strong>  A snowboarder is grinding down a long rail<br> <hr size=""2""><strong>Premise:</strong>  A person is doing a trick on a snowboard<br> <hr size=""2""><strong>Relationship:</strong> neutral<br> <hr size=""2""><strong>Explanation:</strong> a person doing a trick on a snowboard is not necessarily grinding down a long rail. <br>This is a attention test, please select Weakly Yes, None"					2			6				
60d28e4b28fe97cc56f657d0	327	"<strong>Hypothesis:</strong> a man has been arrested on suspicion of murder after a man was stabbed to death in south yorkshire.<br> <hr size=""2""><strong>Premise:</strong> Adrian Fatchett, 52, was injured at a house in Highfield Avenue, Athersley South, said South Yorkshire Police. Mr Fatchett died on Saturday night despite being treated at the scene by paramedics, officers said. A 17-year-old boy arrested on suspicion of murder has been bailed and investigations continue, said police.<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  a man has been arrested on suspicion of murder after a man was stabbed to death in south yorkshire."				1				6				
60d28e4b28fe97cc56f657d0	272	"<strong>Hypothesis:</strong> Blank Space is on a list in a country .<br> <hr size=""2""><strong>Premise:</strong> The song has also topped charts in Canada , South Africa and Australia .<br> <hr size=""2""><strong>Relationship:</strong> entailment <br> <hr size=""2""><strong>Explanation:</strong>  canada, south africa, and australia are all countries."				1				6				
60d28e4b28fe97cc56f657d0	146	"<strong>Hypothesis:</strong> Alexandria is the largest seaport in Egypt .<br> <hr size=""2""><strong>Premise:</strong> Alexandria is Egypt 's smallest seaport , serving approximately 20 % of Egypt 's imports and exports .<br> <hr size=""2""><strong>Relationship:</strong> contradiction <br> <hr size=""2""><strong>Explanation:</strong>  alexandria is egypt's smallest seaport, serving approximately 20 % of egypt's imports and exports."				1				6				
